Drug 1,Drug 2,Tanimoto,Cosine,Difference
Amikacin,Ethambutol,0.07246376811594203,0.18475471276006186,0.11229094464411983
Capreomycin,Delamanid,0.07092198581560284,-0.038207844435510376,0.10912983025111322
Ethambutol,Streptomycin,0.07042253521126761,0.12552508003015483,0.055102544818887225
Bedaquiline,Linezolid,0.06930693069306931,0.3893633540184513,0.320056423325382
Amikacin,Levofloxacin,0.06930693069306931,-0.0653439808605698,0.13465091155363912
Bedaquiline,Levofloxacin,0.06862745098039216,0.4179173315693203,0.3492898805889282
Linezolid,Streptomycin,0.06862745098039216,0.16381700736125865,0.09518955638086649
Ethionamide,Levofloxacin,0.0684931506849315,0.40736582925932346,0.33887267857439196
Levofloxacin,Streptomycin,0.06796116504854369,-0.021781207505807525,0.08974237255435122
Clofazimine,Moxifloxacin,0.06796116504854369,0.5326323858058127,0.4646712207572691
Isoniazid,Streptomycin,0.06666666666666667,0.09941032040303613,0.03274365373636946
Isoniazid,Moxifloxacin,0.06578947368421052,0.4626656849529053,0.39687621126869477
Ethambutol,Linezolid,0.06349206349206349,0.36465395018490865,0.30116188669284516
Capreomycin,Ethambutol,0.061855670103092786,0.16473952830197675,0.10288385819888396
Ethionamide,Streptomycin,0.06172839506172839,0.09282958394964934,0.031101188887920947
Delamanid,Pyrazinamide,0.06172839506172839,0.3328998765579472,0.27117148149621884
Ethionamide,Moxifloxacin,0.06097560975609756,0.4844141211077201,0.4234385113516225
Delamanid,Streptomycin,0.05982905982905983,0.08410385178718138,0.02427479195812155
Kanamycin,Linezolid,0.05952380952380952,0.1715369361540383,0.11201312663022879
Ethambutol,Kanamycin,0.05660377358490566,0.16305570052027307,0.10645192693536741
Bedaquiline,Ethambutol,0.056338028169014086,0.2284361367632461,0.172098108594232
Amikacin,Pyrazinamide,0.05405405405405406,0.15607163543086067,0.10201758137680661
Bedaquiline,Pyrazinamide,0.05333333333333334,0.20691808185683128,0.15358474852349793
Moxifloxacin,Streptomycin,0.05309734513274336,0.012109675686557846,0.040987669446185516
Isoniazid,Kanamycin,0.05263157894736842,0.17024566769056187,0.11761408874319346
Pyrazinamide,Streptomycin,0.05263157894736842,0.09194923983305153,0.039317660885683114
